歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
ALL I WANNA DO,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 170、CHAIN 1800，偏綜合型。
カリスマ煉獄天神,master,12.6,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 137、CHAIN 1824，速度不高，偏配置牽制與手順。
プライマリー進化論,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 158、CHAIN 1988，偏綜合型，處理量中高。
悪魔の踊り方,master,12.6,局部難,"視認難, 拘束配置, 標準",,中,BPM 106、CHAIN 1451，低速局部配置與讀譜是主軸。
Magic Rock'n Roll Maker,master,12.6,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 260、CHAIN 1834，速度壓力明顯，偏高速讀譜與段落反應。
シル・ヴ・プレジデント,master,12.6,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 176、CHAIN 1743，偏中速綜合型。
ダーリンダンス,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 153、CHAIN 1912，偏綜合型，處理量中高。
テレキャスタービーボーイ,master,12.6,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 182、CHAIN 1465，中高速局部配置。
アイジャストロック,master,12.6,高速處理,"全體難, 拘束配置, 混合節奏",交互穩定,中,BPM 200、CHAIN 2094，速度壓力明顯，重點偏中高速讀譜與段落處理。
だれかの心臓になれたなら,master,12.6,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 145、CHAIN 1367，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
君と、この瞬間,master,12.6,標準,"全體難, 高速處理, 拘束配置",交互穩定,中,BPM 188、CHAIN 2023，偏綜合型，節奏、配置與基礎穩定度都要顧。
進捗どうですか?,master,12.6,高速處理,"全體難, 拘束配置, 混合節奏",交互穩定,中,BPM 199、CHAIN 2067，速度壓力明顯，重點偏中高速讀譜與段落處理。
巫女みこナース・愛のテーマ,master,12.6,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 160、CHAIN 1550，偏綜合型，節奏、配置與基礎穩定度都要顧。
はやくそれになりたい!,master,12.6,標準,"全體難, 高速處理, 拘束配置","交互穩定, 鍵盤",中,BPM 185、CHAIN 1927，偏綜合型，節奏、配置與基礎穩定度都要顧。
涙色メモリア,master,12.6,高速處理,"拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 202、CHAIN 1755，速度壓力明顯，重點偏中高速讀譜與段落處理。
WAVE,master,12.6,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 130、CHAIN 1279，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
ECHO,master,12.6,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 140、CHAIN 1346，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
アスノヨゾラ哨戒班,master,12.6,標準,"高速處理, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 185、CHAIN 1631，偏中高速綜合型，節奏、配置與基礎穩定度都要顧。
"Help me, ERINNNNNN!! -Cranky remix-",master,12.6,局部難,"視認難, 拘束配置, 混合節奏",階段,高,BPM 180、CHAIN 1216，定數空白；CHAIN 偏低，主要看局部配置、階段或讀譜處理。
シジョウノコエ VOCALO ver.,master,12.6,局部難,"視認難, 拘束配置, 混合節奏",,高,BPM/CHAIN/歌名未抓到，資料抓取不完整；先保留空列方便人工補。
恋はりんりん☆あーりんベル,master,12.7,物量譜面,"全體難, 最後不能鬆懈, 拘束配置",,低,BPM 170、CHAIN 3201，CHAIN 極高，整體耐力與持續處理是主軸。
Jump!! Jump!! Jump!!,master,12.7,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 183、CHAIN 2054，整體處理量偏高。
ハイファイ☆デイズ,master,12.7,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 191、CHAIN 1864，中高速綜合處理。
マチガイサガシ,master,12.7,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 192、CHAIN 1930，中高速綜合處理。
推してもダメならひいてみな!,master,12.7,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 192、CHAIN 1879，中高速綜合型。
新世界スターター,master,12.7,物量譜面,"高速處理, 全體難, 拘束配置",,中低,BPM 188、CHAIN 2103，中高速且 CHAIN 高，整體處理量明顯。
Blueprint,master,12.7,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 175、CHAIN 2170，整體處理量偏高。
サヴァイバル・キリング・メーカー,master,12.7,物量譜面,"全體難, 高速處理, 拘束配置","交互穩定, 鍵盤",中低,BPM 192、CHAIN 2100，整體處理量偏高，長條/滑條與 TAP 混合壓力明顯。
トランスダンスアナーキー,master,12.7,物量譜面,"全體難, 高速處理, 拘束配置","交互穩定, 鍵盤",中低,BPM 195、CHAIN 2145，整體處理量偏高，長條/滑條與 TAP 混合壓力明顯。
SPICY SWINGY STYLE,master,12.7,局部難,"視認難, 高速處理, 拘束配置","餡蜜推薦, 階段",中低,BPM 242、CHAIN 1312，CHAIN 偏低但 BPM 高，主要看高速局部配置與階段處理。
1番輝く星,master,12.7,局部難,"視認難, 拘束配置, 標準",,中,BPM 182、CHAIN 1198，CHAIN 偏低，主要看局部配置與讀譜。
イルミネーション,master,12.7,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 131、CHAIN 1647，速度不高，重點偏配置牽制與手順。
有頂天ドリーマーズ,master,12.7,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 188、CHAIN 1592，中高速段落與配置處理是主軸。
Glory Steady Go!,master,12.7,局部難,"視認難, 拘束配置, 標準",,中,BPM 131、CHAIN 820，CHAIN 很低，主要看局部配置與節奏。
アイドル,master,12.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 166、CHAIN 1466，偏中速綜合型。
おどロボ,master,12.7,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 145、CHAIN 1764，偏綜合型，速度不高但配置量不低。
マツケンサンバII,master,12.7,局部難,"視認難, 拘束配置, 標準",,中,BPM 133、CHAIN 1382，CHAIN 偏低，主要看局部配置與讀譜。
不可解,master,12.7,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 134、CHAIN 1707，速度不高，偏配置牽制與手順。
Paradisoda,master,12.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 135、CHAIN 1523，偏中低速綜合型。
あなたは世界の終わりにずんだを食べるのだ,master,12.7,局部難,"視認難, 拘束配置, 標準",,中,BPM 140、CHAIN 1205，CHAIN 偏低，偏局部配置與讀譜。
リハーサルタイム,master,12.7,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 130、CHAIN 1632，速度不高，偏手順與讀譜。
Get the star for you [DJ Command Remix],master,12.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 162、CHAIN 1653，偏綜合配置型。
さんさーら!,master,12.7,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 140、CHAIN 1861，速度不高，偏配置牽制與手順。
星めぐり、果ての君へ。,master,12.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 175、CHAIN 1714，偏中速綜合型。
Dark Diver,master,12.7,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 136、CHAIN 1609，偏中低速綜合型。
What color...,master,12.7,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 158、CHAIN 1871，偏綜合型，節奏、配置與基礎穩定度都要顧。
永遠にゲームで対戦したいキリタン,master,12.7,拘束配置,"全體難, 混合節奏","片手處理, 擦り可用",中,BPM 126、CHAIN 1852，速度不高但配置牽制明顯，手順與片手處理較關鍵。
スターナイトスノウ,master,12.7,標準,"拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 180、CHAIN 1655，偏綜合型，節奏、配置與基礎穩定度都要顧。
Perfect Shining!!,master,12.7,標準,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 182、CHAIN 1857，偏綜合型，節奏、配置與基礎穩定度都要顧。
クレイジー・ビート,master,12.7,拘束配置,"混合節奏, 局部難",片手處理,中,BPM 130、CHAIN 1629，速度不高但配置牽制明顯，手順與片手處理較關鍵。
メイドと血の懐中時計,master,12.7,標準,"拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 184、CHAIN 1723，偏綜合型，節奏、配置與基礎穩定度都要顧。
あうんどばいみー,master,12.7,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 178、CHAIN 1766，偏綜合型，節奏、配置與基礎穩定度都要顧。
Paranoia,master,12.7,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 150、CHAIN 1553，偏綜合型，節奏、配置與基礎穩定度都要顧。
Very! Merry!! Session!!!,master,12.7,標準,"拘束配置, 混合節奏, 局部難","交互穩定, 鍵盤",中,BPM 180、CHAIN 1615，偏綜合型，節奏、配置與基礎穩定度都要顧。
ダンスロボットダンス,master,12.7,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 190、CHAIN 1968，速度壓力明顯，重點偏中高速讀譜與段落處理。
Fire◎Flower,master,12.7,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 175、CHAIN 1937，偏綜合型，節奏、配置與基礎穩定度都要顧。
ラブリー☆えんじぇる!!,master,12.7,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 173、CHAIN 1861，偏綜合型，節奏、配置與基礎穩定度都要顧。
如月アテンション,master,12.7,高速處理,"拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 200、CHAIN 1754，速度壓力明顯，重點偏中高速讀譜與段落處理。
唱,master,12.7,標準,"混合節奏, 拘束配置, 局部難",,高,BPM 132、CHAIN 1452，歌名與定數疑似抓取不完整，先保守判為綜合型。
”STAR”T,master,12.7,高速處理,"全體難, 拘束配置, 混合節奏",交互穩定,高,BPM 190、CHAIN 2007，定數空白；速度壓力明顯，重點偏中高速讀譜與段落處理。
イロドリミドリ杯,master,12.7,高速處理,"全體難, 拘束配置, 混合節奏",交互穩定,高,BPM 190、CHAIN 2050，定數空白；速度壓力明顯，重點偏中高速讀譜與段落處理。
トゥッティ!,master,12.8,物量譜面,"高速處理, 全體難, 拘束配置",,中低,BPM 194、CHAIN 2046，中高速且 CHAIN 高，整體處理量明顯。
カノン,master,12.8,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 185、CHAIN 1821，中高速綜合處理。
スティールユー,master,12.8,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 190、CHAIN 1960，中高速綜合型。
マージナル,master,12.8,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 190、CHAIN 1946，中高速綜合處理。
WWW,master,12.8,局部難,"視認難, 拘束配置, 標準",,中,BPM 146、CHAIN 1133，CHAIN 偏低，主要看局部配置與讀譜。
メイドノココロハアヤツリドール,master,12.8,局部難,"視認難, 拘束配置, 標準",,中,BPM 128、CHAIN 1418，速度低且 CHAIN 不高，偏局部配置與讀譜。
Worlders,master,12.8,局部難,"視認難, 拘束配置, 標準",,中,BPM 138、CHAIN 1241，CHAIN 偏低，主要看局部配置與讀譜。
きゅびずむ,master,12.8,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 185、CHAIN 1598，中高速段落與配置處理是主軸。
モエチャッカファイア,master,12.8,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 163、CHAIN 1881，中速綜合型，整體處理量不低。
On your mark (104期 Ver.),master,12.8,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 154、CHAIN 1567，偏綜合型。
愛包ダンスホール,master,12.8,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 141、CHAIN 1532，偏綜合配置型。
寝起きヤシの木,master,12.8,局部難,"視認難, 拘束配置, 標準",,中,BPM 160、CHAIN 1184，CHAIN 偏低，偏局部配置與讀譜。
てらてら,master,12.8,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 190、CHAIN 1382，CHAIN 不高，偏中高速局部配置。
ユックリ feat.餅千歳,master,12.8,局部難,"視認難, 拘束配置, 標準",,中,BPM 188、CHAIN 1298，CHAIN 偏低，偏局部配置。
強風オールバック,master,12.8,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 135、CHAIN 1496，偏中低速綜合型。
天使のクローバー,master,12.8,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 193、CHAIN 1632，中高速段落與配置處理。
孤独毒毒,master,12.8,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 155、CHAIN 1700，偏綜合配置型。
フォニイ,master,12.8,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 170、CHAIN 1805，偏中速綜合型。
Bad Apple!! feat.nomico,master,12.8,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 170、CHAIN 1742，偏綜合型；定數低於本批多數歌曲。
STAR IN THE WORLD,master,12.8,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 180、CHAIN 1891，偏中速綜合型。
骸骨楽団とリリア,master,12.8,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 260、CHAIN 1456，高速但 CHAIN 不高，偏高速讀譜與段落反應。
Earthquake Super Shock,master,12.8,高速處理,"局部難, 混合節奏, 拘束配置",,中,BPM 175、CHAIN 1548，中速偏快的段落配置處理。
SWEET SHAKE!!,master,12.8,拘束配置,"全體難, 混合節奏","片手處理, 擦り可用",中,BPM 134、CHAIN 1803，速度不高但配置牽制明顯，手順與片手處理較關鍵。
異世界かるてっと,master,12.8,標準,"拘束配置, 混合節奏, 局部難",,中,BPM 148、CHAIN 1577，偏綜合型，節奏、配置與基礎穩定度都要顧。
最強 the サマータイム!!!!!,master,12.8,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 178、CHAIN 1934，偏綜合型，節奏、配置與基礎穩定度都要顧。
福宿音屋魂音泉,master,12.8,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 162、CHAIN 1842，偏綜合型，節奏、配置與基礎穩定度都要顧。
愛されなくても君がいる,master,12.8,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 150、CHAIN 1739，偏綜合型，節奏、配置與基礎穩定度都要顧。
インドア系ならトラックメイカー,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 128、CHAIN 1299，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
迷える薔薇に終わらぬ夜を,master,12.8,高速處理,"拘束配置, 混合節奏, 局部難","餡蜜可用, 交互穩定, 鍵盤",中,BPM 230、CHAIN 1620，速度壓力明顯，重點偏中高速讀譜與段落處理。
Bad Apple!! feat.nomico (Nhato Remix),master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 138、CHAIN 1438，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
Cosmic Magic Shooter,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 163、CHAIN 1209，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
Road without Road,master,12.8,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 174、CHAIN 1848，偏綜合型，節奏、配置與基礎穩定度都要顧。
結んで開いて羅刹と骸,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 169、CHAIN 1376，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
《理想》 ~ Cloudland,master,12.8,標準,"拘束配置, 混合節奏, 局部難",,中,BPM 123、CHAIN 1562，偏綜合型，節奏、配置與基礎穩定度都要顧。
ワールズエンド・ダンスホール,master,12.8,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 171、CHAIN 1666，偏綜合型，節奏、配置與基礎穩定度都要顧。
Grip & Break down !!,master,12.8,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 160、CHAIN 1607，偏綜合型，節奏、配置與基礎穩定度都要顧。
Candyland Symphony,master,12.8,拘束配置,混合節奏,片手處理,中,BPM 120、CHAIN 1675，速度不高但配置牽制明顯，手順與片手處理較關鍵。
WARNING×WARNING×WARNING,master,12.8,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 172、CHAIN 1972，偏綜合型，節奏、配置與基礎穩定度都要顧。
つるぺったん,master,12.8,標準,"拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 180、CHAIN 1786，偏綜合型，節奏、配置與基礎穩定度都要顧。
はちみつアドベンチャー,master,12.8,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 160、CHAIN 1585，偏綜合型，節奏、配置與基礎穩定度都要顧。
ぶれいくるみるくらぶ!,master,12.8,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 197、CHAIN 1800，速度壓力明顯，重點偏中高速讀譜與段落處理。
咲キ誇レ常世ノ華,master,12.8,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 210、CHAIN 1858，速度壓力明顯，重點偏中高速讀譜與段落處理。
終わりなき物語,master,12.8,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 150、CHAIN 1588，偏綜合型，節奏、配置與基礎穩定度都要顧。
砂の惑星 feat. HATSUNE MIKU,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 95、CHAIN 1415，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
卑怯戦隊うろたんだー,master,12.8,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 152、CHAIN 1582，偏綜合型，節奏、配置與基礎穩定度都要顧。
FLOATED CALM,master,12.8,拘束配置,"混合節奏, 局部難",片手處理,中,BPM 130、CHAIN 1641，速度不高但配置牽制明顯，手順與片手處理較關鍵。
永遠のメロディ,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 155、CHAIN 1440，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
No Routine,master,12.8,標準,"拘束配置, 混合節奏",鍵盤,中,BPM 163、CHAIN 1715，偏綜合型，節奏、配置與基礎穩定度都要顧。
アウターサイエンス,master,12.8,高速處理,"拘束配置, 混合節奏, 局部難","餡蜜可用, 交互穩定, 鍵盤",中,BPM 195、CHAIN 1562，速度壓力明顯，重點偏中高速讀譜與段落處理。
明るい未来,master,12.8,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 228、CHAIN 1833，速度壓力明顯，重點偏中高速讀譜與段落處理。
愛迷エレジー,master,12.8,標準,"高速處理, 拘束配置, 混合節奏",餡蜜可用,中,BPM 210、CHAIN 1458，偏高速綜合型，節奏、配置與基礎穩定度都要顧。
放課後革命,master,12.8,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 205、CHAIN 1953，速度壓力明顯，重點偏中高速讀譜與段落處理。
回レ!雪月花,master,12.8,標準,"拘束配置, 混合節奏, 局部難",,中,BPM 160、CHAIN 1484，偏綜合型，節奏、配置與基礎穩定度都要顧。
キュアリアス光吉古牌　－祭－,master,12.8,局部難,"視認難, 拘束配置, 混合節奏",,高,BPM/CHAIN/歌名未抓到，資料抓取不完整；先保留空列方便人工補。
よりみちリトルスター,master,12.9,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 189、CHAIN 2149，整體處理量偏高。
タイムカプセル,master,12.9,物量譜面,"高速處理, 全體難, 拘束配置",,中低,BPM 185、CHAIN 2149，中高速且處理量高。
パズルリボン,master,12.9,物量譜面,"高速處理, 全體難, 拘束配置",,中低,BPM 215、CHAIN 2081，高速且整體處理量偏高。
